Namespace(batch_size=12, class_choice=None, dataset='shapenetpart', dropout=0.5, emb_dims=1024, epochs=200, eval=False, exp_name='part_seg', k=40, lr=0.001, model='dgcnn', model_path='/home/huijie/research/EECS542/FM-3DNet/part_seg/models/40.pth', momentum=0.9, no_cuda=False, num_points=2048, scheduler='cos', seed=1, test_batch_size=12, use_sgd=True, visu='', visu_format='ply')
Using GPU : 0 from 1 devices
Train 0, loss: 2.352750, train acc: 0.496931, train avg acc: 0.152196, train iou: 0.310706
Test 0, loss: 2.067960, test acc: 0.568720, test avg acc: 0.239518, test iou: 0.342962
Train 1, loss: 2.078900, train acc: 0.586533, train avg acc: 0.256832, train iou: 0.348050
Test 1, loss: 1.998602, test acc: 0.602515, test avg acc: 0.322796, test iou: 0.379894
Train 2, loss: 2.006373, train acc: 0.621149, train avg acc: 0.310546, train iou: 0.380529
Test 2, loss: 1.978549, test acc: 0.636781, test avg acc: 0.350510, test iou: 0.405339
Train 3, loss: 1.971762, train acc: 0.638802, train avg acc: 0.340487, train iou: 0.404880
Test 3, loss: 1.921877, test acc: 0.643882, test avg acc: 0.359131, test iou: 0.419801
Train 4, loss: 1.947815, train acc: 0.651158, train avg acc: 0.354574, train iou: 0.421292
Test 4, loss: 1.893106, test acc: 0.669827, test avg acc: 0.379925, test iou: 0.460307
Train 5, loss: 1.939898, train acc: 0.656762, train avg acc: 0.363510, train iou: 0.429805
Test 5, loss: 1.922345, test acc: 0.649274, test avg acc: 0.379718, test iou: 0.423378
Train 6, loss: 1.922895, train acc: 0.666216, train avg acc: 0.376226, train iou: 0.438731
Test 6, loss: 1.897281, test acc: 0.682058, test avg acc: 0.399332, test iou: 0.463089
Train 7, loss: 1.916573, train acc: 0.672546, train avg acc: 0.383727, train iou: 0.445105
Test 7, loss: 1.884959, test acc: 0.677468, test avg acc: 0.393974, test iou: 0.453825
Train 8, loss: 1.901777, train acc: 0.680496, train avg acc: 0.392226, train iou: 0.453440
Test 8, loss: 1.918116, test acc: 0.672360, test avg acc: 0.395695, test iou: 0.446035
Train 9, loss: 1.901248, train acc: 0.680395, train avg acc: 0.394177, train iou: 0.453898
Test 9, loss: 1.895643, test acc: 0.681086, test avg acc: 0.403046, test iou: 0.458712
Train 10, loss: 1.894550, train acc: 0.685451, train avg acc: 0.399437, train iou: 0.459865
Test 10, loss: 1.889360, test acc: 0.683459, test avg acc: 0.404056, test iou: 0.450993
Train 11, loss: 1.893405, train acc: 0.685754, train avg acc: 0.400380, train iou: 0.460983
Test 11, loss: 1.860377, test acc: 0.689801, test avg acc: 0.394997, test iou: 0.465543
Train 12, loss: 1.884750, train acc: 0.691667, train avg acc: 0.405256, train iou: 0.467447
Test 12, loss: 1.899832, test acc: 0.671739, test avg acc: 0.402210, test iou: 0.456768
Train 13, loss: 1.883170, train acc: 0.692069, train avg acc: 0.406616, train iou: 0.467121
Test 13, loss: 1.840294, test acc: 0.703332, test avg acc: 0.421845, test iou: 0.489101
Train 14, loss: 1.882689, train acc: 0.693382, train avg acc: 0.408376, train iou: 0.469275
Test 14, loss: 1.848903, test acc: 0.698235, test avg acc: 0.420040, test iou: 0.483206
Train 15, loss: 1.877882, train acc: 0.695146, train avg acc: 0.408899, train iou: 0.470785
Test 15, loss: 1.862531, test acc: 0.698379, test avg acc: 0.419212, test iou: 0.481899
Train 16, loss: 1.874362, train acc: 0.698084, train avg acc: 0.411417, train iou: 0.474888
Test 16, loss: 1.846771, test acc: 0.717247, test avg acc: 0.421669, test iou: 0.506046
Train 17, loss: 1.884201, train acc: 0.694460, train avg acc: 0.409199, train iou: 0.471054
Test 17, loss: 1.870412, test acc: 0.684009, test avg acc: 0.411729, test iou: 0.475542
Train 18, loss: 1.870841, train acc: 0.698166, train avg acc: 0.411926, train iou: 0.475189
Test 18, loss: 1.839458, test acc: 0.707617, test avg acc: 0.426384, test iou: 0.490926
